item_id,brand,monthy_sale_trend_202511,monthy_sale_trend_202512,202512月销量,品牌
MLC1022145147,,,,0.0,Xiaomi
MLC1022208039,,,,0.0,Ezviz
MLC1022230996,,,,0.0,RONDON IMPORTACIONES SPA
MLC1022514647,,,,0.0,Imou
MLC1022708299,,,,0.0,TP-Link
MLC1023207374,,,,0.0,Hikvision
MLC1023208834,,,,0.0,Mini Cámara
MLC1023225809,,,,0.0,Eshop
MLC1023309800,,,,0.0,Yosse
MLC1023525536,,,,0.0,Rodio
MLC1023526354,,,,0.0,Reolink
MLC1023544664,,,,0.0,Reolink
MLC1023557384,,,,0.0,Reolink
MLC1023564158,,,,0.0,Reolink
MLC1023576656,,,,0.0,Reolink
MLC1023658850,,,,0.0,Yosse
MLC1023879239,,,,0.0,Hikvision
MLC1023939652,,,,0.0,Yoosee
MLC1023955375,,,,0.0,Camara
MLC1024243192,,,,0.0,Hikvision
MLC1024243472,,,,0.0,Hikvision
MLC1024271842,,,,0.0,Camara
MLC1024572124,,,,0.0,Dahua
MLC1024671372,,,,0.0,Dahua
MLC1024806444,,,,0.0,DM
MLC1024869818,,,,0.0,Tasbel
MLC1024886309,,,,0.0,Vision
MLC1024904624,,,,0.0,Genérica
MLC1025609864,,,,0.0,Reolink
MLC1025634704,,,,0.0,Montecarlos Shop
MLC1025767319,,,,0.0,DM
MLC1025821030,,,,0.0,Line
MLC1025843810,,,,0.0,Line
MLC1025855537,,0.0,0.0,0.0,Merca Todo
MLC1026193445,,,,0.0,Qihan
MLC1026250793,,,,0.0,Tasbel
MLC1026252131,,,,0.0,Qihan
MLC1026749578,,,,0.0,Hikvision
MLC1026761048,,0.0,0.0,0.0,Hikvision
MLC1026940800,,,,0.0,AHD
MLC1027019597,,,,1.0,Genérica
MLC1027023012,,0.0,0.0,0.0,Mini Cámara
MLC1027366818,,,,0.0,Adkar
MLC1027456653,,,,0.0,Hikvision
MLC1027456714,,,,0.0,Genérica
MLC1027623883,,0.0,0.0,0.0,Imou
MLC1027628330,,,,0.0,Y00SEE
MLC1028090704,,,,0.0,Genérica
MLC1028373102,,,,0.0,Astr
MLC1028387250,,,,0.0,Ezviz
MLC1028387788,,0.0,0.0,0.0,Hikvision
MLC1028664512,,0.0,0.0,0.0,Hikvision
MLC1028667048,,,,0.0,Smart Camara
MLC1028820366,,,,0.0,Eshopviña
MLC1028840309,,,,0.0,Eshop
MLC1028906865,,,,0.0,YI
MLC1029350082,,,,0.0,VR Cam
MLC1029599413,,,,0.0,Nexxt Solutions
MLC1029612144,,,,0.0,Genérica
MLC1029724079,,,,0.0,Ezviz
MLC1030084113,,,,0.0,Yosse
MLC1030085952,,,,0.0,Tasbel
MLC1030096543,,,,0.0,Hyundai
MLC1030108430,,0.0,0.0,0.0,Hikvision
MLC1030236159,,0.0,0.0,0.0,Qatar Shop
MLC1030820121,,,,0.0,Genérico/Eshopviña
MLC1030824495,,,,0.0,Genérica
MLC1030869896,,,,0.0,Ezviz
MLC1031010227,,,,0.0,Ezviz
MLC1031010906,,,,0.0,Genérico/Eshopviña
MLC1031018286,,1.0,4.0,3.0,Genérica
MLC1031029491,,4.0,1.0,1.0,Multimedialyc
MLC1031036905,,,,0.0,Genérica/ESHOP
MLC1031070171,,,,0.0,Veloti
MLC1031104688,,0.0,1.0,1.0,Dahua
MLC1031113342,,,,0.0,Aqara
MLC1031726157,,,,0.0,Ezviz
MLC1031736828,,,,0.0,Ezviz
MLC1031851199,,,,0.0,Tuya app
MLC1031876682,,0.0,0.0,1.0,Tuya app
MLC1032121016,,0.0,0.0,0.0,OEM
MLC1032504637,,0.0,0.0,,
MLC1032512665,,,,0.0,Vhome
MLC1032534160,,,,0.0,Ezviz
MLC1032552103,,,,0.0,Vhome
MLC1032715367,,,,0.0,Smart Camara
MLC1032738886,,0.0,1.0,1.0,Smart Camara
MLC1032830766,,0.0,0.0,0.0,Safecom
MLC1033087066,,,,0.0,Hikvision
MLC1033089777,,0.0,0.0,0.0,Safecom
MLC1033106254,,,,0.0,Hikvision
MLC1033782353,,,,0.0,Hikvision
MLC1033782691,,,,0.0,Dahua
MLC1033808892,,144.0,118.0,106.0,Dahua
MLC1034218087,,0.0,0.0,0.0,FY
MLC1034273869,,,,0.0,Veloti
MLC1034324823,,,,0.0,Dahua
MLC1035052993,,,,0.0,Wi-Fi Smart Camera
MLC1035089599,,6.0,4.0,4.0,Wifi Smart Net Camera
MLC1035095161,,0.0,1.0,,
MLC1035096468,,,,0.0,Smart Camara
MLC1035108979,,,,0.0,Smart Camara
MLC1035109622,,,,0.0,Tasbel
MLC1035207881,,,,0.0,Genérica
MLC1035222870,,,,0.0,Mini Cámara
MLC1035369849,,,,0.0,Vision
MLC1035379989,,0.0,0.0,,
MLC1035437190,,,,0.0,COMPRACLICK
MLC1035672848,,,,0.0,Smart Camara
MLC1035694227,,,,0.0,1080p
MLC1035872553,,,,0.0,WiFi
MLC1035881719,,,,0.0,Genérica
MLC1036395380,,,,0.0,VStarcam
MLC1036489349,,,,0.0,VStarcam
MLC1036918971,,,,0.0,Wi-Fi Smart Camera
MLC1036987190,,,,0.0,IRM
MLC1036989333,,0.0,0.0,0.0,Vision
MLC1037418325,,0.0,0.0,0.0,Acalazyas
MLC1037445020,,,,0.0,Genérica
MLC1037454936,,,,0.0,wifi
MLC1037559257,,,,0.0,Premium Choice
MLC1037620416,,,,0.0,IMPORMAIPU
MLC1038003364,,,,0.0,Qatarshop
MLC1038021420,,,,0.0,Genérica
MLC1038071676,,,,0.0,Genérica
MLC1038260812,,,,0.0,Yosse
MLC1038271590,,,,0.0,Ezviz
MLC1038282059,,0.0,0.0,,
MLC1038290208,,,,0.0,Genérica
MLC1038348675,,0.0,0.0,0.0,VStarcam
MLC1038633923,,0.0,0.0,0.0,GTI
MLC1038693513,,,,0.0,Genérico
MLC1038698081,,,,0.0,VStarcam
MLC1038784829,,,,0.0,Genérica
MLC1038803622,,1.0,0.0,0.0,Camara
MLC1038804596,,,,0.0,krstores2020
MLC1038804631,,0.0,0.0,,
MLC1038881484,,,,0.0,VStarcam
MLC1039113192,,2.0,4.0,4.0,Vision
MLC1039381484,,0.0,0.0,0.0,VStarcam
MLC1039757084,,,,0.0,Xiaomi
MLC1039848270,,,,0.0,Innotronik-Sentinel
MLC1039853621,,14.0,11.0,11.0,Hikvision
MLC1039869192,,0.0,0.0,0.0,Dahua
MLC1039921103,,,,0.0,Innotronik-Sentinel
MLC1039927055,,0.0,0.0,0.0,Hikvision
MLC1039927056,Hikvision,6.0,3.0,0.0,Hikvision
MLC1039927579,,,,0.0,Vision
MLC1039941053,,,,0.0,Innotronik-Sentinel
MLC1039949843,,,,0.0,Innotronik-Sentinel
MLC1039951591,,0.0,0.0,0.0,Hikvision
MLC1040006003,,,,0.0,Genérica
MLC1040006019,,,,0.0,Innotronik-Sentinel
MLC1040007953,,,,0.0,Innotronik-Sentinel
MLC1040009670,,,,0.0,Innotronik-Sentinel
MLC1040025267,,,,0.0,Bivena
MLC1040028449,,,,0.0,Innotronik-Sentinel
MLC1040084426,,,,0.0,Smallest
MLC1040252211,,1.0,0.0,0.0,Vhome
MLC1040265297,,8.0,8.0,6.0,Dahua
MLC1040608546,,,,0.0,Dummy
MLC1040622217,,0.0,0.0,0.0,Newvision
MLC1040687608,,0.0,0.0,0.0,Hopemob
MLC1040853395,,0.0,0.0,0.0,Genérica
MLC1041602361,,,,0.0,Ezviz
MLC1041619180,,,,0.0,Dummy
MLC1041762558,,,,0.0,Ezviz
MLC1041779509,,,,0.0,Yoosee
MLC1041788535,,,,0.0,RoHS
MLC1042065105,,,,0.0,Ezviz
MLC1042246515,,,,0.0,Genérica
MLC1042246982,,0.0,0.0,0.0,Hikvision
MLC1042512967,,,,0.0,Genérica
MLC1042580473,,,,0.0,Camara
MLC1042628577,,,,0.0,Yoosee
MLC1042633241,,,,0.0,OEM
MLC1042634416,,,,0.0,Hikvision
MLC1042638971,,,,0.0,Ozom
MLC1042813158,,,,3.0,Hikvision
MLC1043138784,,,,0.0,Imou
MLC1043147847,,,,0.0,Ezviz
MLC1043322687,,12.0,11.0,11.0,Dahua
MLC1043333891,,,,0.0,Camara Hikvision Bala 2mp Ip67 Luz 20m Flash Pir Alarma Out
MLC1043457366,,0.0,0.0,0.0,Dahua
MLC1043858048,,,,1.0,Hikvision
MLC1043906293,,,,0.0,Hikvision
MLC1043907665,,,,0.0,Q-See
MLC1043959630,,,,0.0,Q-See
MLC1044035701,,0.0,10.0,10.0,Hikvision
MLC1044037184,,,,0.0,Q-See
MLC1044037189,,,,0.0,Q-See
MLC1044095669,,,,0.0,Philco
MLC1044379422,,,,0.0,FIGO STORE SPA
MLC1045027047,,6.0,0.0,0.0,Foco Solar
MLC1045539163,,1.0,0.0,0.0,Genérica
MLC1045578717,,0.0,1.0,,
MLC1045592650,,,,0.0,Dahua
MLC1045597281,,1.0,0.0,2.0,Cvhstore
MLC1045794898,,,,0.0,AND
MLC1045832158,,,,0.0,Dahua
MLC1045832243,,,,0.0,Dahua
MLC1046158773,,,,0.0,Dahua
MLC1046303726,,0.0,0.0,0.0,Demasled
MLC1046489325,,,,0.0,Mini Cámara
MLC1046491511,,0.0,0.0,0.0,Genérica
MLC1046771348,,,,0.0,Xiaomi
MLC1046771698,,,,0.0,Ring
MLC1046961951,,,,0.0,Genérica
MLC1046967479,,,,0.0,Xiaomi
MLC1046994039,,,,0.0,Genérica
MLC1047032671,,,,0.0,Reolink
MLC1047216818,,0.0,0.0,,
MLC1047245415,,,,0.0,KRSTORES
MLC1047280596,,0.0,0.0,0.0,Dahua
MLC1047566370,,1.0,0.0,0.0,Betensh
MLC1048055976,,,,0.0,YIIoT
MLC1048071154,,,,0.0,Hikvision
MLC1048106588,,,,0.0,Nexxt
MLC1048107499,,,,0.0,Dahua
MLC1048111052,,,,0.0,Vision
MLC1048114623,,,,0.0,Nexxt Solutions
MLC1048123743,,,,0.0,Tasbel
MLC1048145272,,0.0,0.0,0.0,Ezviz
MLC1048155078,,,,0.0,Nexxt Solutions
MLC1048396870,,0.0,1.0,1.0,Hikvision
MLC1048903650,,,,0.0,Hikvision
MLC1048942926,,11.0,20.0,20.0,Betensh
MLC1049022899,,25.0,1.0,2.0,Securis
MLC1049472052,,,,0.0,Vision
MLC1049556883,,0.0,0.0,0.0,Philco
MLC1049563359,,0.0,0.0,,
MLC1049780829,,0.0,0.0,0.0,Dahua
MLC1050008940,,1.0,1.0,1.0,Dahua
MLC1050187410,,,,0.0,Blink
MLC1050436811,Dahua,26.0,0.0,0.0,Dahua
MLC1050529552,,,,0.0,Zeylink
MLC1050531715,,,,0.0,Blink
MLC1050677470,,,,0.0,Vision
MLC1050689258,,0.0,1.0,1.0,Hikvision
MLC1050706112,,,,0.0,Vision
MLC1050937936,,,,0.0,Genérica
MLC1051045407,,,,0.0,Genérica
MLC1051077876,,0.0,0.0,0.0,Iaitech
MLC1051167522,,,,0.0,China
MLC1051180651,,,,0.0,Hikvision
MLC1051364556,,15.0,9.0,9.0,Foco Solar
MLC1051369009,,,,0.0,Hikvision
MLC1051374912,,,,0.0,Hikvision
MLC1052003099,,,,1.0,Detector Movimiento
MLC1052105920,,,,0.0,Ezviz
MLC1052421455,,0.0,0.0,0.0,Hikvision
MLC1052828525,,,,0.0,Blink
MLC1053324325,,,,0.0,Generic
MLC1053673904,,,,0.0,Google
MLC1054080937,,,,0.0,Imou
MLC1054081565,,,,0.0,aebes
MLC1054222378,,,,0.0,Eufy
MLC1054451093,,,,0.0,Xiaomi
MLC1055028012,,,,0.0,Dahua
MLC1055368260,,,,0.0,EPA
MLC1055386444,,1.0,0.0,0.0,EPA
MLC1055387093,,,,0.0,Vision
MLC1055387122,,,,0.0,EPA
MLC1055399631,,0.0,1.0,1.0,Mbvbn
MLC1055406417,,,,4.0,EPA
MLC1055410553,,0.0,0.0,0.0,Hikvision
MLC1056716918,,,,0.0,Genérica
MLC1056729322,,,,0.0,Premium Choice
MLC1056930039,,3.0,3.0,3.0,Genérica
MLC1056957828,,,,0.0,Premium Choice
MLC1056961922,,,,0.0,Mini Cámara
MLC1056962588,,0.0,0.0,,
MLC1056971083,,,,0.0,Mini Cámara
MLC1057077860,,,,0.0,The Best Choice
MLC1057087948,,,,0.0,Hikvision
MLC1057831640,,,,0.0,Mini Cámara
MLC1057845722,,,,0.0,MASS
MLC1057845937,,,,0.0,mass
MLC1057866071,,,,0.0,Genérica
MLC1057869900,,,,0.0,mass
MLC1057911407,,,,0.0,Tasbel
MLC1057915085,,,,0.0,"generic,camara de seguridad inalambrica,camara de seguridad wifi,cámaras de seguridadm,cámara de seguridad,cámaras de vigilancia,monitor para camaras de seguridad"
MLC1057934413,,,,0.0,Betensh
MLC1058262791,,,,0.0,Hikvision
MLC1058472852,,,,0.0,Mini Cámara
MLC1058481891,,,,0.0,Genérica
MLC1058485152,,,,0.0,Hikvision
MLC1058495501,,,,0.0,Hikvision
MLC1058758923,,,,0.0,Hikvision
MLC1058790537,,,,0.0,Hikvision
MLC1058850344,,,,0.0,Acalazyas
MLC1059100335,,0.0,0.0,0.0,The Best Choice
MLC1059126405,,,,0.0,BLKJ
MLC1059133782,,,,0.0,Genérica
MLC1059138865,,,,0.0,The Best Choice
MLC1059261836,,1.0,0.0,0.0,MVC
MLC1060276901,,,,0.0,VR
MLC1060380283,,,,0.0,Mini Cámara
MLC1060401978,,,,0.0,Genérica
MLC1060404570,,,,0.0,
MLC1060484783,,,,1.0,Genérica
MLC1060636874,,,,0.0,Eufy
MLC1060799321,,,,0.0,Vision
MLC1061009339,,,,0.0,Genérica
MLC1061377559,,,,0.0,D-Motica
MLC1062089115,,,,0.0,Ezviz
MLC1062090263,,,,0.0,Genérica
MLC1062125544,,,,0.0,Hikvision
MLC1062128733,,,,0.0,Ezviz
MLC1062129224,,,,0.0,IP Camara
MLC1062157100,,,,0.0,Dahua
MLC1062367563,,,,0.0,Genérica
MLC1062380907,,,,0.0,Genérica
MLC1062384037,,,,0.0,MVC
MLC1062438021,,,,0.0,Genérica
MLC1062749972,,,,0.0,RabbitStorm
MLC1063034351,,,,0.0,Hikvision
MLC1063170284,,,,0.0,SMART CAMERA
MLC1063174385,,,,0.0,Smart Camera
MLC1063177471,,,,0.0,Genérica
MLC1063332075,,,,0.0,Imou
MLC1063333894,,,,0.0,Ezviz
MLC1063497515,,,,0.0,Hikvision
MLC1063509645,,,,0.0,MERCA TODO
MLC1063544658,,,,0.0,Smart Camara
MLC1063936508,,,,0.0,Wi-Fi Smart Camera
MLC1064126683,,0.0,0.0,0.0,The Best Choice
MLC1064250444,,,,0.0,Lylu 5g
MLC1064314974,,,,0.0,Lylu 4g
MLC1064325741,,,,0.0,Hyundai
MLC1064329379,,,,0.0,Hikvision
MLC1064493064,,,,0.0,The Best Choice
MLC1064501794,,,,0.0,Acalazyas
MLC1064858750,,0.0,0.0,0.0,Wifi Smart Net Camera
MLC1065416878,,,,0.0,Hikvision
MLC1065427861,,,,0.0,Onec
MLC1065430658,,,,0.0,QP
MLC1065438168,,,,0.0,
MLC1065443716,,,,0.0,Genérica
MLC1065444807,,,,0.0,Imou
MLC1065470638,,2.0,3.0,3.0,QP
MLC1065477401,,,,0.0,Imou
MLC1065818664,,,,0.0,V380
MLC1066244370,,2.0,0.0,0.0,QP
MLC1066276528,,0.0,0.0,0.0,QP
MLC1066289662,,,,0.0,Ezviz
MLC1066402451,,,,0.0,TXG
MLC1066476400,,,,0.0,Genérica
MLC1066476437,,,,0.0,QP
MLC1066741615,,0.0,0.0,0.0,QP
MLC1066741925,,,,0.0,Shenzhen
MLC1066748148,,,,0.0,Samsung
MLC1066772416,,0.0,0.0,0.0,QP
MLC1068247165,,,,0.0,Genérica
MLC1068401525,,1.0,0.0,1.0,Dcimport
MLC1068406421,,,,0.0,Genérica
MLC1068407737,,,,0.0,Reolink
MLC1068415189,,,,0.0,Reolink
MLC1068440274,,,,0.0,Reolink
MLC1069203441,,,,0.0,Dahua
MLC1069439232,,,,0.0,ZKTeco
MLC1069448093,,,,0.0,Genérica
MLC1069454349,,,,0.0,Genérica
MLC1069471439,,,,0.0,Yoosee
MLC1069473797,,,,0.0,Dahua
MLC1069474009,,,,0.0,Dahua
MLC1069538635,,,,0.0,Genérica
